"text","cmp_code","eu_code"
"not the Republican proposition that government has no role, nor the old notion that there's a program for every problem, but a shift to a more efficient, flexible and results-oriented government that improves services, expands choices, and empowers citizens and communities to change our country from the bottom up.","303",NA
"We believe in an activist government, but it must work in a different, more responsive way.","303",NA
"The Revolution of 1992 is about facing up to tough choices.","606",NA
"There is no relief for America's frustration in the politics of diversion and evasion, of false choices or of no choices at all.","606",NA
"Instead of everyone in Washington blaming one another for inaction, we will act decisively -- and ask to be held accountable if we don't.","305",NA
"Above all the Revolution of 1992 is about restoring the basic American values that built this country and will always make it great: personal responsibility, individual liberty, tolerance, faith, family and hard work.","603",NA
"We offer the American people not only new ideas, a new course, and a new President, but a return to the enduring principles that set our nation apart: the promise of opportunity, the strength of community, the dignity of work, and a decent life for senior citizens.","603",NA
"To make this revolution, we seek a New Covenant to repair the damaged bond between the American people and their government, that will expand opportunity, insist upon greater individual responsibility in return, restore community, and ensure national security in a profoundly new era.","606",NA
"We welcome the close scrutiny of the American people, including Americans who may have thought the Democratic Party had forgotten its way, as well as all who know us as the champions of those who have been denied a chance.","202",NA
"With this platform we take our case for change to the American people.","202",NA
"I. OPPORTUNITY",NA,NA
"Our Party's first priority is opportunity -- broad- based, non-inflationary economic growth and the opportunity that flows from it.","410",NA
"Democrats in 1992 hold nothing more important for America than an economy that offers growth and jobs for all.","410",NA
"President Bush, with no interest in domestic policy, has given America the slowest economic growth, the slowest income growth, and the slowest jobs growth since the Great Depression.","305",NA
"And the American people know the long Bush recession reflects not just a business cycle, but a long-term slide, so that even in a fragile recovery we're sinking.","305",NA
"The ballooning Bush deficits hijacked capital from productive investments.","305",NA
"Savings and loan sharks enriched themselves at their country's expense.","503",NA
"The stock market tripled, but average incomes stalled, and poverty claimed more of our children.","503",NA
"We reject both the do-nothing government of the last twelve years and the big government theory that says we can hamstring business and tax and spend our way to prosperity.","305",NA
"Instead we offer a third way.","408",NA
"Just as we have always viewed working men and women as the bedrock of our economy, we honor business as a noble endeavor, and vow to create a far better climate for firms and independent contractors of all sizes that empower their workers, revolutionize their workplaces, respect the environment, and serve their communities well.","408",NA
"We believe in free enterprise and the power of market forces.","401",NA
"But economic growth will not come without a national economic strategy to invest in people.","404",NA
"For twelve years our country has had no economic vision, leadership or strategy.","305",NA
"It is time to put our people and our country first.","606",NA
"Investing in America.",NA,NA
"The only way to lay the foundation for renewed American prosperity is to spur both public and private investment.","410",NA
"We must strive to close both the budget deficit and the investment gap.","414",NA
"Our major competitors invest far more than we do in roads, bridges, and the information networks and technologies of the future.","411",NA
"We will rebuild America by investing more in transportation, environmental technologies, defense conversion, and a national information network.","411",NA
"To begin making our economy grow, the President and Congress should agree that savings from defense must be reinvested productively at home, including research, education and training, and other productive investments.","410",NA
"This will sharply increase the meager nine percent of the national budget now devoted to the future.","410",NA
"We will create a ""future budget"" for investments that make us richer, to be kept separate from those parts of the budget that pay for the past and present.","410",NA
"For the private sector, instead of a sweeping capital gains windfall to the wealthy and those who speculate, we will create an investment tax credit and a capital gains reduction for patient investors in emerging technologies and new businesses.","410",NA
"Support for Innovation.",NA,NA
"We will take back the advantage now ceded to Japan and Germany, which invest in new technologies at higher rates than the U. S.  and have the growth to show for it.","411",NA
"We will make the R&;D tax credit permanent, double basic research in the key technologies for our future, and create a civilian research agency to fast-forward their development.","411",NA
"The deficit.",NA,NA
"Addressing the deficit requires fair and shared sacrifice of all Americans for the common good.","606",NA
"In 12 Republican years a national debt that took 200 years to accumulate has been quadrupled.","414",NA
"Rising interest on that debt now swallows one tax dollar in seven.","414",NA
"In place of the Republican supply-side disaster, the Democratic investment, economic conversion and growth strategy will generate more revenues from a growing economy.","410",NA
"We must also tackle spending, by putting everything on the table; eliminate nonproductive programs; achieve defense savings; reform entitlement programs to control soaring health care costs; cut federal administrative costs by 3 percent annually for four years;","303",NA
"limit increases in the ""present budget"" to the rate of growth in the average American's paycheck; apply a strict ""pay as you go"" rule to new non-investment spending; and make the rich pay their fair share in taxes.","414",NA
"These choices will be made while protecting senior citizens and without further victimizing the poor.","706",NA
"This deficit reduction effort will encourage private savings, eliminate the budget deficit over time, and permit fiscal policies that can restore America's economic health.","414",NA
"Defense Conversion.",NA,NA
"Our economy needs both the people and the funds released from defense at the Cold War's end.","105",NA
"We will help the stalwarts of that struggle -- the men and women who served in our armed forces and who work in our defense industries – make the most of a new era.","706",NA
"We will provide early notice of program changes to give commun ties, businesses and workers enough time to plan.","706",NA
"We will honor and support our veterans.","706",NA
"Departing military personnel, defense workers, and defense support personnel will have access to job retraining, continuing education, placement and relocation assistance, early retirement benefits for military personnel, and incentives to enter teaching, law enforcement and other vital civilian fields.","706",NA
"Redirected national laboratories and a new civilian research agency will put defense scientists, engineers and technicians to work in critical civilian technologies.","105",NA
"Small business defense firms will have technical assistance and transition grants and loans to help convert to civilian markets, and defense dependent communities will have similar aid in planning and implementing conversion.","706",NA
"We will strongly support our civilian space program, particularly environmental missions.","411",NA
"The Cities.",NA,NA
"Only a robust economy will revitalize our cities.","408",NA
"It is in all Americans' interest that the cities once again be places where hard-working families can put down roots and find good jobs, quality health care, affordable housing, and decent schools.","504",NA
"Democrats will create a new partnership to rebuild America's cities after 12 years of Republican neglect.","305",NA
"This partnership with the mayors will include consideration of the seven economic growth initiatives set forth by our nation's mayors.","404",NA
"We will create jobs by investing significant resources to put people back to work, beginning with a summer jobs initiative and training programs for inner-city youth.","411",NA
"We support a stronger community development program and targeted fiscal assistance to cities that need it most.","301",NA
"A national public works investment and infrastructure program will provide jobs and strengthen our cities, suburbs, rural communities and country.","402",NA
"We will encourage the flow of investment to inner city development and housing through targeted enterprise zones and incentives for private and public pension funds to invest in urban and rural projects.","411",NA
"While cracking down on redlining and housing discrimination, we also support and will enforce a revitalized Community Reinvestment Act that challenges banks to lend to entrepreneurs and development projects;","410",NA
"a national network of Community Development Banks to invest in urban and rural small businesses; and microenterprise lending for poor people seeking self-employment as an alternative to we fare.","402",NA
"Agriculture and the Rural Community.",NA,NA
"All Americans, producers and consumers alike, benefit when our food and fiber are produced by hundreds of thousands of family farmers r ceiving fair prices for their products.","703",NA
"The abundance of our nation's food and fiber system should not be taken for granted.","703",NA
"The revolution that lifted America to the forefront of world agriculture was achieved through a unique partnership of public and private interests.","703",NA
"The inattention and hostility that has characterized Republican food, agricultural and rural development policies of the past twelve years have caused a crisis in rural America.","305",NA
"The cost of Republican farm policy has been staggering and its total failure is demonstrated by the record number of rural bankruptcies.","305",NA
"A sufficient and sustainable agricultural economy can be achieved through fiscally responsible programs.","703",NA
"It is time to reestablish the private/public partnership to ensure that family farmers get a fair return for their labor and investment, so that consumers receive safe and nutritious foods,","703",NA
"and that needed investments are made in basic research, education, rural business development, market development and infrastructure to sustain rural communities.","410",NA
"Workers' Rights.",NA,NA
"Our workplaces must be revolutionized to make them more flexible and productive.","410",NA
"We will reform the job safety laws to empower workers with greater rights and to hold employers accountable for dangers on the job.","701",NA
"We will act against sexual ha assment in the workplace.","406",NA
"We will honor the work ethic -- by expanding the earned income tax credit so no one with children at home who works full-time is still in poverty;","402",NA
"by fighting on the side of family farmers to ensure they get a fair price for their hard work; by working to sustain rural communities;","703",NA
"by making work more valuable than welfare;","402",NA
"and by supporting the right of workers to organize and bargain collectively without fear of intimidation or permanent replacement during labor disputes.","701",NA
"Lifelong Learning.",NA,NA
"A competitive American economy requires the global market's best educated, best trained, most flexible workforce.","411",NA
"It's not enough to spend more on our schools; we must insist on results.","506",NA
"We oppose the Bush Administration's efforts to bankrupt the public school system - the bedrock of democracy - through private school vouchers.","305",NA
"To help children reach school ready to learn, we will expand child health and nutrition programs and extend Head Start to all eligible children, and guarantee all children access to quality, affordable child care.","504",NA
"We deplore the savage inequalities among public schools across the land, and believe every child deserves an equal chance to a world class education.","503",NA
"Reallocating resources toward this goal must be a priority.","506",NA
"We support education reforms such as site-based decision-making and public school choice, with strong protections against discrimination.","506",NA
"We support the goal of a 90 percent graduation rate, and programs to end dropouts.","506",NA
"We will invest in educational technology, and establish world-class standards in math, science and other core subjects and support effective tests of progress to meet them.","506",NA
"In areas where there are no registered apprenticeship programs, we will adopt a national apprenticeship-style program to ease the transition from school to work for non-college bound students so they can acquire skills that lead to high-wage jobs.","411",NA
"In the new economy, opportunity will depend on lifelong learning.","411",NA
"We will support the goal of literacy for all Americans.","411",NA
"We will ask firms to invest in the training of all workers, not just corporate management.","411",NA
"A Domestic GI Bill.",NA,NA
"Over the past twelve years skyrocketing costs and declining middle class incomes have placed higher education out of reach for millions of Americans.","305",NA
"It is time to revolutionize the way student loan programs are run.","706",NA
"We will make college affordable to all students who are qualified to attend, regardless of family income.","503",NA
"A Domestic G.I Bill will enable all Americans to borrow money for college, so long as they are willing to pay it back as a percentage of their income over time or through national service addressing u met community needs.","706",NA
"Affordable Health Care.",NA,NA
"All Americans should have universal access to quality, affordable health care -- not as a privilege, but as a right.","504",NA
"That requires tough controls on health costs, which are rising at two to three times the rate of inflation, terrorizing American families and businesses and depriving millions of the care they need.","504",NA
"We will enact a uniquely American reform of the health care system to control costs and make health care affordable; ensure quality and choice of health care providers; cover all Americans regardless of preexisting conditions; squeeze out waste, bureaucracy and abuse;","503",NA
"improve primary and preventive care including child immunization and prevention of diseases like Tuberculosis now becoming rampant in our cities;","504",NA
"provide expanded education on the relationship between diet and health;","411",NA
"expand access to mental health treatment services; provide a safety net through support of public hospitals;","504",NA
"provide for the full range of reproductive choice -- education, counseling, access to contraceptives, and the right to a safe, legal abortion;","604",NA
"expand medical research;","411",NA
"and provide more long term care, including home health care.","504",NA
"We will make ending the epidemic in breast cancer a major priority, and expand research on breast, cervical and ovarian cancer, infertility, reproductive health services and other special health needs of women.","504",NA
"We must be united in declaring war on AIDS and HIV disease, implement the recommendations of the National Commission on AIDS and fully fund the Ryan White Care Act; provide targeted and honest prevention campaigns; combat HIV-related discrimination; make drug treatment available for all addicts who seek it; guarantee access to quality care; expand clinical trials for treatments and vaccines; and speed up the FDA drug approval process.","504",NA
"Fairness.",NA,NA
"Growth and equity work in tandem.","408",NA
"People should share in society's common costs according to their ability to pay.","503",NA
"In the last decade, mounting payroll and other taxes have fallen disproportionately on the middle class.","503",NA
"We will relieve the tax burden on middle class Americans by forcing the rich to pay their fair share.","503",NA
"We will provide long-overdue tax relief to families with children.","406",NA
"To broaden opportunity, we will support fair lending practices.","403",NA
"Energy Efficiency and Sustainable Development.",NA,NA
"We reject the Republican myth that energy efficiency and environmental protection are enemies of economic growth.","501",NA
"We will make our economy more efficient, by using less energy, reducing our dependence on foreign oil, and producing less solid and toxic waste.","501",NA
"We will adopt a coordinated transportation policy, with a strong commitment to mass transit;","501",NA
"encourage efficient alternative-fueled vehicles;","501",NA
"increase our reliance on clean natural gas;","501",NA
"promote clean coal technology;","501",NA
"invest in R&;D on renewable energy sources;","411",NA
"strengthen efforts to prevent air and water pollution;","501",NA
"support incentives for domestic oil and gas operations;","501",NA
"and push for revenue-neutral incentives that reward conservation, prevent pollution and encourage recycling.","501",NA
"Civil and Equal Rights.",NA,NA
"We don't have an American to waste.","503",NA
"Democrats will continue to lead the fight to ensure that no Americans suffer discrimination or deprivation of rights on the basis of race, gender, language, national origin, religion, age, disability, sexual orientation, or other characteristics irrelevant to ability.","503",NA
"We support the ratification of the Equal Rights Amendment; affirmative action; stronger protection of voting rights for racial and ethnic minorities, including language access to voting; and continued resistance to discriminatory English-only pressure groups.","705",NA
"We will reverse the Bush Administration's assault on civil rights enforcement, and instead work to rebuild and vigorously use machinery for civil rights enforcement;","201",NA
"support comparable remedies for women;","706",NA
"aggressively prosecute hate crimes;","605",NA
"strengthen legal services for the poor;","605",NA
"deal with other nations in such a way that Americans of any origin do not become scapegoats or victims of foreign policy disputes;","107",NA
"provide civil rights protection for gay men and lesbians and an end to Defense Department discrimination;","705",NA
"respect Native American culture and our treaty commitments;","706",NA
"require the United States Government to recognize its trustee obligations to the inhabitants of Hawaii generally, and to Native Hawaiians in particular;","101",NA
"and fully enforce the Americans with Dis bility Act to enable people with disabilities to achieve independence and function at their highest possible level.","705",NA
"Commonwealths and Territories.",NA,NA
"We recognize the existing status of the Commonwealth of Puerto Rico and the strong economic relationship between the people of Puerto Rico and the United States.","101",NA
"We pledge to support the right of the people of the Commonwealth of Puerto Rico to choose freely, and in concert with the U.S. Congress, their relationship with the United States, either as an enhanced commonwealth, a state or an independent nation.","101",NA
"We support fair participation for Puerto Rico in federal programs.",NA,NA
"We pledge to the people of American Samoa, Guam, the Northern Mariana Islands, and the Virgin Islands just and fair treatment under federal policies, assisting their economic and social development.","101",NA
"We respect their right and that of the people of Palau to decide freely their future relationship with the United States and to be consulted on issues and policies that directly affect them.","101",NA
"II.RESPONSIBILITY",NA,NA
"Sixty years ago, Franklin Roosevelt gave hope to a nation mired in the Great Depression.","305",NA
"While government should promise every American the opportunity to get ahead, it was the people's responsibility, he said, to make the most of that opportunity: ""Faith in America demands that we recognize the new terms of the old social contract.","606",NA
"In the strength of great hope we must all shoulder our common load.","606",NA
"For twelve years, the Republicans have expected too little of our public institutions and placed too little faith in our people.","305",NA
"We offer a new social contract based neither on callous, do-nothing Republican neglect, nor on an outdated faith in programs as the solution to every problem.","301",NA
"We favor a third way beyond the old approaches -- to put government back on the side of citizens who play by the rules.","301",NA
"We believe that by what it says and how it conducts its business, government must once again make responsibility an instrument of national purpose.","301",NA
"Our future as a nation depends upon the daily assumption of personal responsibility by millions of Americans from all walks of life - for the religious faiths they follow, the ethics they practice, the values they instill, and the pride they take in their work.","607",NA
"Strengthening The Family.",NA,NA
"Governments don't raise children, people do.","603",NA
"People who bring children into this world have a responsibility to care for them and give them values, motivation and discipline.","603",NA
"Children should not have children.","603",NA
"We need a national crackdown on deadbeat parents, an effective system of child support enforcement nationwide, and a systematic effort to establish paternity for every child.","603",NA
"We must also make it easier for parents to build strong families through pay equity.","412",NA
"Family and medical leave will ensure that workers don't have to choose between family and work.","412",NA
"We support a family preservation program to reduce child and spousal abuse by providing preventive services and foster care to families in crisis.","504",NA
"We favor ensuring quality and affordable child care opportunities for working parents, and a fair and healthy start for every child, including essential pre-natal and well baby care.","503",NA
"We support the needs of our senior citizens for productive and healthy lives, including hunger prevention, income adequacy, transportation access and abuse prevention.","406",NA
"Welfare Reform.",NA,NA
"Welfare should be a second chance, not a way of life.","503",NA
"We want to break the cycle of welfare by adhering to two simple principles:","503",NA
"no one who is able to work can stay on welfare forever, and no one who works should live in poverty.","503",NA
"We will continue to help those who cannot help themselves.","504",NA
"We will offer people on welfare a new social contract.","503",NA
"We'll invest in education and job training, and provide the child care and health care they need to go to work and achieve long-term self- sufficiency.","506",NA
"We will give them the help they need to make the transition from welfare to work, and require people who can work to go to work within two years in available jobs either in the private sector or in community service to meet unmet needs.","504",NA
"This will restore the covenant that welfare was meant to be: a promise of temporary help for people who have fallen on hard times.","504",NA
"Choice.",NA,NA
"Democrats stand behind the right of every woman to choose, consistent with Roe v.Wade, regardless of ability to pay, and support a national law to protect that right.","706",NA
"It is a fundamental constitutional liberty that individual Americans - not government - can best take responsibility for making the most difficult and intensely personal decisions regarding reproduction.","201",NA
"The goal of our nation must be to make abortion less necessary, not more difficult or more dangerous.","603",NA
"We pledge to support contraceptive research, family planning, comprehensive family life education, and policies that support healthy childbearing and enable parents to care most effectively for their children.","603",NA
"Making Schools Work.",NA,NA
"Education is a cooperative enterprise that can only succeed if everyone accepts and exercises personal responsibility.","606",NA
"Students must stay in school and do their best;","603",NA
"parents must get involved in their children's education;","603",NA
"teachers must attain, maintain, and demonstrate classroom competency;","603",NA
"school administrators must enforce discipline and high standards of educational attainment;","603",NA
"governments must end the inequalities that create educational ghettos among school districts and provide equal educational opportunity for all;","503",NA
"and ensure that teachers' pay measures up to their decisive role in children's lives;","408",NA
"and the American people should recognize education as the core of our economy, democracy and society.","601",NA
"Labor-Management Responsibilities.",NA,NA
"The private sector is the engine of our economy and the main source of national wealth.","401",NA
"But it is not enough for those in the private sector just to make as much money as they can.","403",NA
"The most irresponsible people in all of the 1980s were those at the top of the ladder: the inside traders, quick buck artists, and S&;L kingpins who looked out for themselves and not for the country.","403",NA
"America's corporate leaders have a responsibility to invest in their country.","403",NA
"CEOs, who pay themselves 100 times what they pay the average worker, shouldn't get big raises unrelated to performance.","403",NA
"If a company wants to overpay its executives and underinvest in the future or transfer jobs overseas, it shouldn't get special treatment and tax breaks from the Treasury.","403",NA
"Managers must work with employees to make the workplace safer, more satisfying and more efficient.","701",NA
"Workers must also accept added responsibilities in the new economy.","408",NA
"In return for an I creased voice and a greater stake in the success of their enterprises, workers should be prepared to join in cooperative efforts to increase productivity, flexibility and quality.","410",NA
"Government's neutrality between labor and management cannot mean neutrality about the collective bargaining process, which has been purposely crippled by Republican administrations.","405",NA
"Our economic growth depends on processes, including collective bargaining, that permit labor and management to work together on their common interests, even as they work out their conflicts.","405",NA
"Responsibility for the Environment.",NA,NA
"For ourselves and future generations, we must protect our environment.","501",NA
"We will protect our old growth forests, preserve critical habitats, provide a genuine ""no net loss"" policy on wetlands, reduce our dependence on toxic chemicals, conserve the critical resources of soil, water and air, oppose new offshore oil drilling and mineral exploration and production in our nation's many environmentally critical areas, and address ocean pollution by reducing oil and toxic waste spills at sea.","501",NA
"We believe America's youth can serve its country well through a civilian conservation corps.","706",NA
"To protect the public health, we will clean up the environmental horrors at federal facilities, insist that private polluters clean up their toxic and hazardous wastes, and vigorously prosecute environmental criminals.","501",NA
"We will oppose Republican efforts to gut the Clean Air Act in the guise of competitiveness.","305",NA
"We will reduce the volume of solid waste and encourage the use of recycled materials while discouraging excess packaging.","501",NA
"To avoid the mistakes of the past, we will actively support energy- efficiency, recycling, and pollution prevention strategies.","501",NA
"Responsible Government.",NA,NA
"Democrats in 1992 intend to lead a revolution in government, challenging it to act responsibly and be accountable, starting with the hardest and most urgent problems of the deficit and economic growth.","305",NA
"Rather than throw money at obsolete programs, we will eliminate unnecessary layers of management, cut administrative costs,","303",NA
"give people more choices in the service they get, and empower them to make those choices.","301",NA
"To foster greater responsibility in government at every level, we support giving greater flexibility to our cities, counties and states in achieving Federal mandates and carrying out existing programs.","301",NA
"Responsible Officials.",NA,NA
"All branches of government must live by the laws the rest of us obey, determine their pay in an open manner that builds public trust, and eliminate special privileges.","303",NA
"People in public office need to be accessible to the people they represent.","303",NA
"It's time to reform the campaign finance system, to get big money out of our politics and let the people back in.","202",NA
"We must limit overall campaign spending and limit the disproportionate and excessive role of PACs.","202",NA
"We need new voter registration laws that expand the electorate, such as universal same-day registration, along with full political rights and protections for public employees and new regulations to ensure that the airwaves truly help citizens make informed choices among candidates and policies.","202",NA
"And we need fair political representation for all sectors of our country - including the District of Columbia, which deserves and must get statehood status.","202",NA
"III. RESTORING COMMUNITY",NA,NA
"The success of democracy in America depends substantially on the strength of our community institutions: families and neighborhoods, public schools, religious institutions, charitable organizations, civic groups and other voluntary associations.","202",NA
"In these social networks, the values and character of our citizens are formed, as we learn the habits and skills of self government, and acquire an understanding of our common rights and responsibilities as citizens.","202",NA
"Twelve years of Republican rule have undermined the spirit of mutual dependence and obligation that binds us together.","606",NA
"Republican leaders have urged Americans to turn inward, to pursue private interests without regard to public responsibilities.","606",NA
"By playing racial, ethnic and gender-based politics they have divided us against each other, created an atmosphere of blame, denial and fear, and undone the hard-fought battles for equality and fairness.","606",NA
"Our communities form a vital ""third sector"" that lies between government and the marke place.","301",NA
"The wisdom, energy and resources required to solve our problems are not concentrated in Washington, but can be found throughout our communities, including America's non-profit sector, which has grown rapidly over the last decade.","301",NA
"Government's best role is to enable people and communities to solve their own problems.","301",NA
"America's special genius has been to forge a community of shared values from people of remarkable and diverse backgrounds.","607",NA
"As the party of inclusion, we take special pride in our country's emergence as the world's largest and most successful multiethnic, multiracial republic.","607",NA
"We condemn antisemitism, racism, homophobia, bigotry and negative stereotyping of all kinds.","201",NA
"We must help all Americans understand the diversity of our cultural heritage.","607",NA
"But it is also essential that we preserve and pass on to our children the common elements that hold this mosaic together as we work to make our country a land of freedom and opportunity for all.","201",NA
"Both Republican neglect and traditional spending programs have proven unequal to these challenges.","305",NA
"Democrats will pursue a new course that stresses work, family and individual responsibility,","603",NA
"and that empowers Americans to liberate themselves from poverty and dependence.","503",NA
"We pledge to bolster the institutions of civil society and place a new emphasis on civic enterprises that seek solutions to our nation's problems.","301",NA
"Through common, cooperative efforts we can rebuild our communities and transform our nation.","606",NA
"Combatting Crime and Drugs.",NA,NA
"Crime is a relentless danger to our communities.","605",NA
"Over the last decade, crime has swept through our country at an alarming rate.","605",NA
"During the 1980s, more than 200,000 Americans were murdered, four times the number who died in Vietnam.","605",NA
"Violent crimes rose by more than 16 percent since 1988 and nearly doubled since 1975.","605",NA
"In our country today, a murder is committed every 25 minutes, a rape every six minutes, a burglary every 10 seconds.","605",NA
"The pervasive fear of crime disfigures our public life and diminishes our freedom.","605",NA
"None suffer more than the poor: an explosive mixture of blighted prospects, drugs and exotic weaponry has turned many of our inner city communities into combat zones.","705",NA
"As a result, crime is not only a symptom but also a major cause of the worsening poverty and demoralization that afflicts inner city communities.","605",NA
"To empower America's communities, Democrats pledge to restore government as the upholder of basic law and order for crime-ravaged communities.","605",NA
"The simplest and most direct way to restore order in our cities is to put more police on the streets.","605",NA
"America's police are locked in an unequal struggle with crime: since 1951 the ratio of police officers to reported crimes has reversed, from three-to-one to one-to-three.","605",NA
"We will create a Police Corps, in which participants would receive college aid in return for several years of service after graduation in a state or local police department.","605",NA
"As we shift people and resources from defense to the civilian economy, we will create new jobs in law enforcement for those leaving the military.","605",NA
"We will expand drug counselling and treatment for those who need it, intensify efforts to educate our children at the earliest ages to the dangers of drug and alcohol abuse, and curb demand from the street corner to the penthouse suite, so that the U.S., with five percent of the world's population, no longer consumes 50 percent of the world's illegal drugs.","605",NA
"Community Policing.",NA,NA
"Neighborhoods and police should be partners in the war on crime.","605",NA
"Democrats support more community policing, which uses foot patrols and storefront offices to make police officers visible fixtures in urban neighborhoods.","605",NA
"We will combat street violence and emphasize building trust and solving the problems that breed crime.","605",NA
"Firearms.",NA,NA
"It is time to shut down the weapons bazaars in our cities.","605",NA
"We support a reason ble waiting period to permit background checks for purchases of handguns, as well as assault weapons controls to ban the possession, sale, importation and manufacture of the most deadly assault weapons.","605",NA
"We do not support efforts to restrict weapons used for legitimate hunting and sporting purposes.","605",NA
"We will work for swift and certain punishment of all people who violate the country's gun laws and for stronger sentences for criminals who use guns.","605",NA
"We will also seek to shut down the black market for guns and impose severe penalties on people who sell guns to children.","605",NA
"Pursuing All Crime Aggressively.",NA,NA
"In contrast to the Republican policy of leniency toward white collar crime -- which breeds cynicism in poor communities about the impartiality of our justice system -- Democrats will redouble efforts to ferret out and punish those who betray the public trust, rig financial markets, misuse their depositors' money or swindle their customers.","605",NA
"Further Initiatives.",NA,NA
"Democrats also favor innovative sentencing and punishment options, including community service and boot camps for first time offenders; tougher penalties for rapists; victim-impact statements and restitution to ensure that crime victims will not be lost in the complexities of the criminal justice system; and initiatives to make our schools safe, including alternative schools for disruptive children.","605",NA
"Empowering The Poor and Expanding The Middle Class.",NA,NA
"We must further the new direction set in the Family Support Act of 1988, away from subsistence and dependence and toward work, family and personal initiative and responsibility.","505",NA
"We advocate slower phasing out of Medicaid and other benefits to encourage work;","505",NA
"special savings accounts to help low-income families build assets;","401",NA
"fair lending; an indexed minimum wage; an expanded Job Corps; and an end to welfare rules that encourage family breakup and penalize individual initiative, such as the $1,000 limit on personal savings.","504",NA
"Immigration.",NA,NA
"Our nation of immigrants has been invigorated repeatedly as new people, ideas and ways of life have become part of the American tapestry.","607",NA
"Democrats support immigration policies that promote fairness, non- discrimination and family reunification, and that reflect our constitutional freedoms of speech, association and travel.","503",NA
"Housing.",NA,NA
"Safe, secure housing is essential to the institutions of community and family.","504",NA
"We support homeownership for working families and will honor that commitment through policies that encourage affordable mortgage credit.","701",NA
"We must also confront homelessness by renovating, preserving and expanding the stock of affordable low-income housing.","504",NA
"We support tenant management and ownership, so public housing residents can manage their own affairs and acquire property worth protecting.","401",NA
"National Service.",NA,NA
"We will create new opportunities for citizens to serve each other, their communities and their country.","606",NA
"By mobilizing hundreds of thousands of volunteers, national service will enhance the role of ordinary citizens in solving unresolved community problems.","606",NA
"The Arts.",NA,NA
"We believe in public support for the Arts,","502",NA
"including a National Endowment for the Arts that is free from political manipulation and firmly rooted in the First Amendment's freedom of expression guarantee.","502",NA
"IV.PRESERVING OUR NATIONAL SECURITY",NA,NA
"During the past four years, we have seen the corrosive effect of foreign policies that are rooted in the past, divorced from our values, fearful of change and unable to meet its challenges.","305",NA
"Under President Bush, crises have been managed, rather than prevented; dictators like Saddam Hussein have been wooed, rather than deterred; aggression by the Serbian regime against its neighbors in what was Yugoslavia has been met by American timidity r ther than toughness; human rights abusers have been rewarded, not challenged; the environment has been neglected, not protected; and America's competitive edge in the global economy has been dulled, not honed.","305",NA
"It is time for new American leadership that can meet the challenges of a changing world.","305",NA
"At the end of World War II, American strength had defeated tyranny and American ingenuity had overcome the Depression.","305",NA
"Under President Truman, the United States led the world into a new era, redefining global security with bold approaches to tough challenges: containing communism with the NATO alliance and in Korea; building the peace through organizations such as the United Nations; and advancing global economic security through new multilateral institutions.","104",NA
