token	tag
they	PRP
knew	VBD
only	RB
the	DT
tune	NN
and	CC
the	DT
first	JJ
three	CD
words.	NN
I	PRP
had	VBD
known	VBN
that	DT
tune	NN
in	IN
my	PRP$
infancy,	NN
but	CC
it	PRP
had	VBD
long	RB
since	RB
passed	VBN
out	IN
of	IN
my	PRP$
mind.	NN
Last	JJ
night,	NN
however,	RB
it	PRP
came	VBD
back	RB
to	IN
me	PRP
in	IN
my	PRP$
dream.	NN
And	CC
what	WP
is	VBZ
more,	RBR
the	DT
words	NNS
of	IN
the	DT
song	NN
also	RB
came	VBD
back-words,	NN
I	PRP
am	VBP
certain,	JJ
which	WDT
were	VBD
sung	VBN
by	IN
the	DT
animals	NNS
of	IN
long	RB
ago	RB
and	CC
have	VBP
been	VBN
lost	VBN
to	IN
memory	NN
for	IN
generations.	NNS
I	PRP
will	MD
sing	VB
you	PRP
that	DT
song	NN
now,	RB
comrades.	.
I	PRP
am	VBP
old	JJ
and	CC
my	PRP$
voice	NN
is	VBZ
hoarse,	JJ
but	CC
when	WRB
I	PRP
have	VBP
taught	VBN
you	PRP
the	DT
tune,	NN
you	PRP
can	MD
sing	VB
it	PRP
better	RBR
for	IN
yourselves.	PRP
It	PRP
is	VBZ
called	VBN
'Beasts	NNS
of	IN
England'."	NNP
Old	JJ
Major	NNP
cleared	VBD
his	PRP$
throat	NN
and	CC
began	VBD
to	TO
sing.	VB
As	IN
he	PRP
had	VBD
said,	VBN
his	PRP$
voice	NN
was	VBD
hoarse,	JJ
but	CC
he	PRP
sang	VBD
well	RB
enough,	RB
and	CC
it	PRP
was	VBD
a	DT
stirring	JJ
tune,	NN
something	NN
between	IN
